x
# A tibble: 8 x 8
  item.chapter number.chapter score.chapter percent.chapter mean.chapter
  <chr>                 <int>         <dbl>           <dbl>        <dbl>
1 1                         4             4            0.04         3.36
2 2                         4             8            0.08         6.14
3 3                        12            20            0.2         15.3 
4 4                        10            10            0.1          7.39
5 5                        14            18            0.18        11.8 
6 6                         5             5            0.05         3.82
7 7                        12            12            0.12         6.96
8 8                        11            23            0.23        16.4 
# ... with 3 more variables: sd.chapter <dbl>, P.chapter <dbl>,
#   D.chapter <dbl>
