item.id	item.answer	item.mark	choice.mean	choice.sd	choice.P	choice.D	choice.RPB	choice.IRI	percent.A	percent.B	percent.BA	percent.C	percent.D	mean.A	mean.B	mean.BA	mean.C	mean.D
1	D	1	0.9667	0.1826	0.9667	 0.1111	0.09052	0.01625	0.03333	     NA	     NA	     NA	0.96667	66.00	   NA	NA	   NA	72.76
2	C	1	0.6667	0.4795	0.6667	 0.7778	0.60320	0.28435	0.13333	0.20000	     NA	0.66667	     NA	58.25	63.00	NA	78.25	   NA
3	B	1	0.8667	0.3457	0.8667	 0.2222	0.24241	0.08240	0.06667	0.86667	     NA	0.03333	0.03333	63.00	73.81	NA	79.00	52.00
4	B	1	0.8667	0.3457	0.8667	 0.4444	0.58627	0.19929	0.13333	0.86667	     NA	     NA	     NA	52.50	75.62	NA	   NA	   NA
5	B	1	0.8333	0.3790	0.8333	 0.4444	0.51163	0.19067	0.06667	0.83333	0.03333	0.06667	     NA	63.50	75.60	66	46.50	   NA
6	C	1	0.7667	0.4302	0.7667	 0.6667	0.62173	0.26296	0.06667	0.13333	     NA	0.76667	0.03333	69.50	53.00	NA	77.13	51.00
7	B	1	0.9333	0.2537	0.9333	 0.1111	0.24992	0.06234	     NA	0.93333	     NA	0.06667	     NA	   NA	73.43	NA	60.00	   NA
8	B	1	0.8000	0.4068	0.8000	 0.4444	0.39917	0.15967	0.16667	0.80000	     NA	     NA	0.03333	62.40	75.21	NA	   NA	59.00
9	A	1	0.9333	0.2537	0.9333	 0.2222	0.33965	0.08472	0.93333	0.03333	     NA	     NA	0.03333	73.75	52.00	NA	   NA	59.00
10	D	1	0.9667	0.1826	0.9667	 0.1111	0.29834	0.05355	     NA	     NA	     NA	0.03333	0.96667	   NA	   NA	NA	51.00	73.28
11	D	1	0.9667	0.1826	0.9667	 0.1111	0.20136	0.03614	     NA	0.03333	     NA	     NA	0.96667	   NA	58.00	NA	   NA	73.03
12	B	1	0.4000	0.4983	0.4000	 0.3333	0.04874	0.02388	0.13333	0.40000	     NA	0.10000	0.36667	66.75	73.33	NA	79.00	72.00
13	D	1	0.9000	0.3051	0.9000	 0.2222	0.41948	0.12584	     NA	0.10000	     NA	     NA	0.90000	   NA	55.67	NA	   NA	74.41
14	D	1	0.7000	0.4661	0.7000	 0.4444	0.46565	0.21339	0.06667	0.16667	     NA	0.06667	0.70000	67.00	59.40	NA	68.00	76.62
15	C	1	0.7667	0.4302	0.7667	 0.4444	0.31008	0.13115	0.13333	0.03333	     NA	0.76667	0.06667	65.25	51.00	NA	74.83	71.50
16	A	1	0.6667	0.4795	0.6667	 0.3333	0.31303	0.14756	0.66667	0.20000	     NA	     NA	0.13333	75.50	61.33	NA	   NA	74.50
17	A	1	0.7000	0.4661	0.7000	 0.1111	0.19429	0.08904	0.70000	     NA	     NA	0.30000	     NA	74.24	   NA	NA	68.56	   NA
18	A	1	0.8333	0.3790	0.8333	 0.3333	0.34479	0.12850	0.83333	0.13333	     NA	0.03333	     NA	74.60	65.00	NA	51.00	   NA
19	B	1	0.7667	0.4302	0.7667	 0.4444	0.27480	0.11623	0.13333	0.76667	     NA	     NA	0.10000	64.50	74.57	NA	   NA	67.67
20	C	1	0.8667	0.3457	0.8667	 0.2222	0.31557	0.10727	     NA	0.03333	     NA	0.86667	0.10000	   NA	60.00	NA	74.19	62.33
21	B	1	0.9333	0.2537	0.9333	 0.2222	0.33965	0.08472	0.03333	0.93333	     NA	0.03333	     NA	59.00	73.75	NA	52.00	   NA
22	D	1	0.9667	0.1826	0.9667	 0.1111	0.17365	0.03117	     NA	0.03333	     NA	     NA	0.96667	   NA	60.00	NA	   NA	72.97
23	D	1	0.8667	0.3457	0.8667	 0.0000	0.08145	0.02769	0.13333	     NA	     NA	     NA	0.86667	69.75	   NA	NA	   NA	72.96
24	A	1	0.3667	0.4901	0.3667	 0.6667	0.47550	0.22914	0.36667	0.23333	     NA	0.06667	0.33333	80.91	68.86	NA	78.50	64.70
25	A	1	0.6333	0.4901	0.6333	 0.3333	0.32445	0.15635	0.63333	     NA	     NA	0.16667	0.20000	75.84	   NA	NA	62.40	70.50
26	D	1	0.9000	0.3051	0.9000	 0.1111	0.18736	0.05621	0.03333	0.06667	     NA	     NA	0.90000	60.00	67.50	NA	   NA	73.37
27	C	1	0.9333	0.2537	0.9333	 0.1111	0.35960	0.08970	0.06667	     NA	     NA	0.93333	     NA	54.50	   NA	NA	73.82	   NA
28	B	1	0.8667	0.3457	0.8667	 0.2222	0.13267	0.04510	0.10000	0.86667	     NA	     NA	0.03333	65.67	73.23	NA	   NA	75.00
29	C	1	0.9333	0.2537	0.9333	 0.2222	0.45930	0.11457	     NA	0.06667	     NA	0.93333	     NA	   NA	49.50	NA	74.18	   NA
30	B	1	0.8667	0.3457	0.8667	 0.3333	0.46190	0.15701	0.10000	0.86667	     NA	0.03333	     NA	53.67	74.96	NA	66.00	   NA
31	B	1	0.8667	0.3457	0.8667	 0.3333	0.40337	0.13712	0.06667	0.86667	     NA	0.06667	     NA	59.00	74.65	NA	58.50	   NA
32	C	1	0.8000	0.4068	0.8000	 0.3333	0.38052	0.15221	0.03333	0.16667	     NA	0.80000	     NA	68.00	61.20	NA	75.08	   NA
33	D	1	0.6000	0.4983	0.6000	-0.1111	0.03757	0.01840	0.06667	0.13333	     NA	0.20000	0.60000	88.00	67.25	NA	69.67	72.94
34	D	1	0.8333	0.3790	0.8333	 0.5556	0.60506	0.22549	0.16667	     NA	     NA	     NA	0.83333	54.40	   NA	NA	   NA	76.16
35	A	1	0.6667	0.4795	0.6667	 0.3333	0.32358	0.15254	0.66667	0.13333	     NA	0.13333	0.06667	75.60	73.75	NA	64.50	55.50
36	B	1	0.9667	0.1826	0.9667	 0.1111	0.43689	0.07842	     NA	0.96667	     NA	     NA	0.03333	   NA	73.62	NA	   NA	41.00
37	B	1	0.7333	0.4498	0.7333	 0.7778	0.65388	0.28916	0.03333	0.73333	     NA	0.16667	0.06667	68.00	77.82	NA	55.20	60.00
38	A	1	0.7667	0.4302	0.7667	 0.5556	0.46296	0.19581	0.76667	0.06667	     NA	0.03333	0.13333	75.96	55.50	NA	60.00	64.50
39	A	1	0.8667	0.3457	0.8667	 0.4444	0.57164	0.19432	0.86667	0.03333	     NA	     NA	0.10000	75.54	41.00	NA	   NA	57.00
40	A	1	0.6667	0.4795	0.6667	 0.7778	0.66651	0.31419	0.66667	0.13333	     NA	0.20000	     NA	78.85	59.00	NA	60.50	   NA
