item.id	item.answer	item.mark	choice.mean	choice.sd	choice.P	choice.D	choice.RPB	choice.IRI	percent.AB	percent.ABC	percent.ABCD	percent.ABD	percent.AC	percent.ACD	percent.AD	percent.B	percent.BC	percent.BCD	percent.BD	percent.CD	percent.D	mean.AB	mean.ABC	mean.ABCD	mean.ABD	mean.AC	mean.ACD	mean.AD	mean.B	mean.BC	mean.BCD	mean.BD	mean.CD	mean.D
41	AC	1	0.9000	0.3051	0.9000	0.2222	0.26197	0.07859	0.03333	     NA	     NA	     NA	0.90000	     NA	0.03333	     NA	     NA	0.03333	     NA	     NA	     NA	76.00	   NA	   NA	   NA	73.70	  NA	58.00	NA	   NA	52.00	   NA	NA	NA
42	ABD	1	0.8333	0.3790	0.8333	0.3333	0.35814	0.13347	     NA	0.03333	0.03333	0.83333	     NA	0.06667	     NA	     NA	     NA	0.03333	     NA	     NA	     NA	   NA	51.00	52.00	74.68	   NA	73.5	   NA	NA	   NA	59.00	   NA	NA	NA
43	AC	1	0.3667	0.4901	0.3667	0.7778	0.50646	0.24406	     NA	0.10000	     NA	0.13333	0.36667	     NA	0.30000	     NA	     NA	0.03333	0.06667	     NA	     NA	   NA	67.00	   NA	68.25	81.45	  NA	69.89	NA	   NA	51.00	63.00	NA	NA
44	ABCD	1	0.8667	0.3457	0.8667	0.3333	0.43263	0.14707	     NA	     NA	0.86667	0.03333	     NA	     NA	0.03333	     NA	0.03333	     NA	0.03333	     NA	     NA	   NA	   NA	74.81	81.00	   NA	  NA	58.00	NA	51.00	   NA	41.00	NA	NA
45	AB	1	0.8667	0.3457	0.8667	0.3333	0.42532	0.14458	0.86667	0.03333	     NA	0.06667	     NA	     NA	0.03333	     NA	     NA	     NA	     NA	     NA	     NA	74.77	41.00	   NA	55.00	   NA	  NA	81.00	NA	   NA	   NA	   NA	NA	NA
46	BD	1	0.5000	0.5085	0.5000	0.6667	0.49243	0.24622	     NA	0.06667	0.03333	0.10000	0.03333	     NA	0.16667	     NA	     NA	0.03333	0.50000	0.03333	0.03333	   NA	66.50	66.00	72.33	85.00	  NA	61.80	NA	   NA	68.00	79.13	60	51
47	AB	1	0.7000	0.4661	0.7000	0.2222	0.20515	0.09401	0.70000	0.10000	     NA	0.10000	     NA	     NA	0.03333	     NA	0.06667	     NA	     NA	     NA	     NA	74.33	66.00	   NA	65.00	   NA	  NA	68.00	NA	77.00	   NA	   NA	NA	NA
48	AB	1	0.1000	0.3051	0.1000	0.2222	0.20228	0.06068	0.10000	0.23333	0.06667	0.26667	     NA	0.13333	0.03333	     NA	0.13333	0.03333	     NA	     NA	     NA	80.67	74.57	68.50	73.75	   NA	63.5	68.00	NA	76.25	58.00	   NA	NA	NA
49	AD	1	0.6000	0.4983	0.6000	0.7778	0.69245	0.33923	     NA	     NA	0.20000	0.13333	     NA	0.03333	0.60000	     NA	     NA	     NA	     NA	     NA	0.03333	   NA	   NA	56.33	71.25	   NA	60.0	80.11	NA	   NA	   NA	   NA	NA	51
50	BCD	1	0.5333	0.5074	0.5333	0.7778	0.58559	0.29214	0.06667	0.03333	0.03333	0.06667	     NA	0.06667	0.03333	     NA	     NA	0.53333	0.13333	0.03333	     NA	59.50	58.00	75.00	61.00	   NA	70.5	60.00	NA	   NA	79.88	67.75	52	NA
51	AC	1	0.2000	0.4068	0.2000	0.5556	0.62051	0.24821	0.13333	     NA	     NA	     NA	0.20000	     NA	0.30000	     NA	0.16667	0.03333	0.06667	0.10000	     NA	69.25	   NA	   NA	   NA	89.17	  NA	68.00	NA	67.20	41.00	75.00	75	NA
52	ABCD	1	0.3000	0.4661	0.3000	0.2222	0.34842	0.15967	     NA	0.06667	0.30000	     NA	0.13333	0.06667	0.06667	0.03333	0.23333	0.03333	     NA	0.06667	     NA	   NA	63.00	79.67	   NA	85.50	79.0	58.00	51	65.14	60.00	   NA	75	NA
53	ABC	1	0.1333	0.3457	0.1333	0.2222	0.25509	0.08671	0.13333	0.13333	0.03333	0.06667	0.26667	     NA	0.03333	0.03333	0.10000	0.10000	0.06667	0.03333	     NA	81.75	81.25	58.00	71.50	66.88	  NA	85.00	51	73.33	71.00	79.50	60	NA
54	AB	1	0.8667	0.3457	0.8667	0.3333	0.57164	0.19432	0.86667	0.06667	     NA	0.03333	     NA	     NA	     NA	     NA	     NA	0.03333	     NA	     NA	     NA	75.54	51.50	   NA	68.00	   NA	  NA	   NA	NA	   NA	41.00	   NA	NA	NA
55	ABCD	1	0.5333	0.5074	0.5333	0.0000	0.03722	0.01857	     NA	0.06667	0.53333	     NA	0.03333	0.06667	     NA	     NA	0.06667	0.23333	     NA	     NA	     NA	   NA	82.50	73.00	   NA	52.00	68.0	   NA	NA	76.50	71.71	   NA	NA	NA
